seqnames	start	end	width	strand	freq	type	caco	freqControl	typeControl	p.values	padj	GENES
72	chr12	48151282	48153925	2644	*	10	both	obese	12	loss	0.681659170414793	0.798176628471334	ASB8
73	chr12	48654382	48656782	2401	*	4	both	obese	15	both	4.9975012493753e-05	0.000256538397467932	MIR1291, KANSL2, SNORA2A, SNORA2C
74	chr12	48662560	48667789	5230	*	7	both	obese	15	both	0.00219890054972513	0.00627093860477167	KANSL2, SNORA2B
75	chr12	48671799	48679238	7440	*	4	both	obese	15	both	4.9975012493753e-05	0.000256538397467932	KANSL2
76	chr12	48681571	48681641	71	*	3	both	obese	15	both	1.05210552618428e-05	0.00011573160788027	KANSL2
77	chr12	48681858	48682238	381	*	4	loss	obese	13	loss	0.0025092716799495	0.00690049711986113	KANSL2
78	chr12	48814432	48818974	4543	*	9	both	obese	14	loss	0.0800766283524905	0.129808429118774	CACNB3
79	chr12	48925046	48925520	475	*	3	both	obese	13	both	0.000678917507190678	0.00234230710731591	ARF3, FKBP11, CCDC65
80	chr12	53045065	53045186	122	*	8	both	obese	11	loss	0.449725137431284	0.577147259703482	LOC283335
81	chr12	55684703	55685060	358	*	4	both	obese	10	loss	0.0655954788343702	0.108620470327882	ITGA7
82	chr12	55697752	55697822	71	*	5	gain	obese	10	loss	0.143110978050707	0.204065653887119	ITGA7
83	chr12	55698002	55698026	25	*	4	gain	obese	10	loss	0.0655954788343702	0.108620470327882	ITGA7
84	chr12	55720367	55720771	405	*	6	loss	obese	13	loss	0.0209395302348826	0.0441738035092043	BLOC1S1-RDH5, BLOC1S1, RDH5
85	chr12	55828659	55837374	8716	*	12	loss	obese	13	loss	1	1	MMP19, TMEM198B, DNAJC14
86	chr12	55842828	55842966	139	*	3	both	obese	11	both	0.00922057031339853	0.0218456588963596	MMP19
87	chr12	56468592	56479708	11117	*	9	both	obese	12	loss	0.426986506746627	0.566861396887763	GLS2, SPRYD4, MIP
88	chr12	56487495	56488414	920	*	11	both	obese	11	both	1	1	GLS2, MIP
89	chr12	56600468	56610539	10072	*	4	both	obese	15	both	4.9975012493753e-05	0.000256538397467932	BAZ2A
90	chr12	56731490	56731628	139	*	9	both	obese	11	both	0.699850074962519	0.798176628471334	NACA, PRIM1
91	chr12	56752449	56770544	18096	*	10	loss	obese	15	loss	0.0421455938697318	0.0737547892720306	HSD17B6
92	chr12	57015795	57016538	744	*	8	loss	obese	11	loss	0.449725137431284	0.577147259703482	TAC3
93	chr12	57107231	57111433	4203	*	12	both	obese	7	loss	0.128135932033983	0.195375579536965	STAT6
94	chr12	57212553	57219976	7424	*	7	both	obese	10	loss	0.462137352376443	0.578610994032294	NXPH4, LRP1
95	chr12	57229661	57230462	802	*	9	both	obese	9	loss	1	1	SHMT2
96	chr12	57239546	57243910	4365	*	1	loss	obese	11	loss	0.000483968542044767	0.00196134619670774	STAC3, NDUFA4L2
97	chr12	57249019	57251193	2175	*	5	both	obese	7	loss	0.710381651279623	0.798176628471334	R3HDM2, STAC3
98	chr12	68747930	68759239	11310	*	2	gain	obese	15	both	1.75350921030713e-06	6.75101045968245e-05	SLC35E3
99	chr12	68764888	68805479	40592	*	2	loss	obese	15	both	1.75350921030713e-06	6.75101045968245e-05	LOC100130075, SLC35E3
100	chr12	68808478	68816838	8361	*	9	both	obese	15	both	0.0168582375478927	0.0376256316286301	MDM2
101	chr12	68824203	68824758	556	*	8	both	obese	15	both	0.00632183908045978	0.0154533844189017	MDM2
102	chr12	68835829	68835843	15	*	4	both	obese	15	both	4.9975012493753e-05	0.000256538397467932	MDM2
103	chr12	68839274	68842524	3251	*	10	both	obese	15	both	0.0421455938697318	0.0737547892720306	CPM, MDM2
104	chr12	68957590	69219580	261991	*	8	loss	obese	12	loss	0.245077461269365	0.340017378698038	CPM
105	chr12	69239569	69239706	138	*	8	both	obese	10	loss	0.710381651279623	0.798176628471334	CPSF6
106	chr12	69574953	69574964	12	*	6	both	obese	11	both	0.139419763802309	0.204065653887119	FRS2
107	chr12	70242306	70243480	1175	*	13	loss	obese	15	loss	0.482758620689655	0.590038314176245	LINC01481, CNOT2
108	chr12	70243714	70244189	476	*	9	loss	obese	15	loss	0.0168582375478927	0.0376256316286301	CNOT2
109	chr12	70353829	70353937	109	*	12	both	obese	13	both	1	1	CNOT2
110	chr12	70524471	70553020	28550	*	3	both	obese	15	both	1.05210552618428e-05	0.00011573160788027	PTPRB
111	chr12	75040077	75043813	3737	*	6	both	obese	13	loss	0.0209395302348826	0.0441738035092043	KCNC2
112	chr12	75048153	75048262	110	*	2	both	obese	13	loss	0.000145064206802688	0.000720641543471419	KCNC2
113	chr12	75209207	75209868	662	*	12	both	obese	13	loss	1	1	KCNC2
114	chr12	80444168	80680271	236104	*	6	both	obese	15	both	0.000699650174912543	0.00234230710731591	PTPRQ
115	chr12	81369290	81369405	116	*	7	both	obese	15	both	0.00219890054972513	0.00627093860477167	PPFIA2
116	chr12	88580276	88580278	3	*	4	both	obese	9	loss	0.139419763802309	0.204065653887119	KITLG
117	chr12	89010681	89027873	17193	*	5	loss	obese	9	loss	0.2723034767446	0.367848556304108	LINC02458
118	chr12	89352037	89353271	1235	*	7	both	obese	10	loss	0.462137352376443	0.578610994032294	DUSP6
119	chr12	89367807	89369301	1495	*	4	both	obese	10	loss	0.0655954788343702	0.108620470327882	
120	chr12	89519412	89523647	4236	*	6	loss	obese	12	both	0.0604329414240249	0.103407477547776	POC1B-GALNT4, POC1B, GALNT4
121	chr12	89525654	89642355	116702	*	7	both	obese	9	loss	0.715249186552235	0.798176628471334	POC1B-GALNT4, POC1B-AS1, POC1B, ATP2B1
122	chr12	89919692	90300340	380649	*	10	loss	obese	9	loss	1	1	LINC02399, LINC02392
123	chr12	91180187	91901921	721735	*	8	loss	obese	15	loss	0.00632183908045978	0.0154533844189017	DCN
124	chr12	95217746	95274889	57144	*	12	both	obese	15	both	0.224137931034483	0.316671939259728	VEZT
125	chr12	95287664	95287864	201	*	3	both	obese	15	both	1.05210552618428e-05	0.00011573160788027	VEZT
126	chr12	95294272	95299113	4842	*	3	both	obese	15	both	1.05210552618428e-05	0.00011573160788027	VEZT
127	chr12	95300671	95302799	2129	*	4	both	obese	15	both	4.9975012493753e-05	0.000256538397467932	VEZT
128	chr12	101393116	101396577	3462	*	6	both	obese	15	both	0.000699650174912543	0.00234230710731591	ARL1
129	chr12	101877580	101877789	210	*	4	both	obese	15	both	4.9975012493753e-05	0.000256538397467932	DRAM1
130	chr12	101914174	102012130	97957	*	6	both	obese	15	both	0.000699650174912543	0.00234230710731591	DRAM1
131	chr12	102025921	102050291	24371	*	2	both	obese	14	both	2.18672913285359e-05	0.000224504190972969	WASHC3
132	chr12	102061912	102077503	15592	*	6	both	obese	15	loss	0.000699650174912543	0.00234230710731591	WASHC3, NUP37
133	chr12	102480319	102480645	327	*	6	both	obese	10	loss	0.2723034767446	0.367848556304108	IGF1
134	chr12	102839209	102840515	1307	*	5	both	obese	10	loss	0.143110978050707	0.204065653887119	PAH
135	chr12	102913802	102913933	132	*	5	both	obese	10	loss	0.143110978050707	0.204065653887119	PAH
136	chr12	102958195	102960513	2319	*	6	loss	obese	15	loss	0.000699650174912543	0.00234230710731591	ASCL1, PAH
137	chr12	103164400	103164763	364	*	6	both	obese	12	loss	0.0604329414240249	0.103407477547776	LOC101929058
138	chr12	103168038	103270308	102271	*	7	both	obese	12	loss	0.128135932033983	0.195375579536965	LOC101929058, C12orf42
139	chr12	103273792	103277210	3419	*	5	both	obese	12	loss	0.0253276870336761	0.0520061840424817	C12orf42
140	chr12	110491097	110499546	8450	*	8	both	obese	15	both	0.00632183908045978	0.0154533844189017	VPS29
141	chr12	110502049	110532004	29956	*	8	both	obese	15	both	0.00632183908045978	0.0154533844189017	RAD9B, VPS29
142	chr12	110545880	110614463	68584	*	7	both	obese	15	both	0.00219890054972513	0.00627093860477167	PPTC7, TCTN1
143	chr12	110616277	110630287	14011	*	10	both	obese	15	both	0.0421455938697318	0.0737547892720306	TCTN1, HVCN1
144	chr12	110632472	110632587	116	*	3	both	obese	15	both	1.05210552618428e-05	0.00011573160788027	TCTN1, HVCN1
145	chr12	110634679	110634681	3	*	3	both	obese	15	both	1.05210552618428e-05	0.00011573160788027	TCTN1, HVCN1
146	chr12	111685588	111712657	27070	*	6	both	obese	11	loss	0.139419763802309	0.204065653887119	ACAD10, BRAP
147	chr12	111892967	111893161	195	*	5	both	obese	15	both	0.000199900049975012	0.000855127991559775	MAPKAPK5
148	chr12	112419112	112419125	14	*	8	both	obese	9	both	1	1	PTPN11
149	chr12	121429096	121430400	1305	*	5	both	obese	15	both	0.000199900049975012	0.000855127991559775	RNF34, KDM2B
150	chr12	121453120	121494521	41402	*	2	loss	obese	15	both	1.75350921030713e-06	6.75101045968245e-05	KDM2B
151	chr12	121509943	121524795	14853	*	6	both	obese	15	both	0.000699650174912543	0.00234230710731591	KDM2B
152	chr12	121536020	121536128	109	*	3	loss	obese	15	both	1.05210552618428e-05	0.00011573160788027	KDM2B
153	chr12	121579627	121651644	72018	*	10	both	obese	15	both	0.0421455938697318	0.0737547892720306	MORN3, KDM2B, ORAI1
154	chr12	133193428	133214831	21404	*	9	both	obese	14	both	0.0800766283524905	0.129808429118774	ZNF268
